ReportType,AM,Месяц,Период,к пролонгации первый месяц,пролонгировано в первый месяц,Коэффицент в первый месяц,к пролонгации через месяц,пролонгировано через месяц,Коэффицент через месяц
AM_detail,Смирнова Ольга Владимировна,202309,,296313.54,180996.45,0.6108274701183078,181410.0,0.0,0.0
AM_detail,Смирнова Ольга Владимировна,202310,,648068.25,793528.75,1.224452440001497,121930.0,0.0,0.0
AM_detail,Смирнова Ольга Владимировна,202311,,159475.0,134455.0,0.843110205361342,70025.0,0.0,0.0
AM_detail,Смирнова Ольга Владимировна,202312,,215550.0,15000.0,0.069589422407794,43975.0,26900.0,0.6117111995451961
AM_detail,Соколова Анастасия Викторовна,202302,,387093.5,137155.0,0.3543200802906791,0.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202303,,167145.0,193385.0,1.1569894403063208,226008.5,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202304,,228185.0,222815.0,0.9764664636150492,0.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202305,,205000.0,0.0,0.0,49795.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202306,,12175.0,0.0,0.0,205000.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202307,,321280.0,0.0,0.0,12175.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202308,,204032.13,69065.0,0.3385006077229111,321280.0,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202309,,299740.47,142458.97,0.4752743932109001,139642.13,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202310,,304178.25,209610.0,0.6891025245887896,145856.37,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202311,,255700.0,69190.0,0.270590535784122,149688.25,0.0,0.0
AM_detail,Соколова Анастасия Викторовна,202312,,238070.0,35000.0,0.1470155836518671,190000.0,0.0,0.0
AM_pivot,Васильев Артем Александрович,202302,февраль 2023,,,0.0,,,0.0
AM_pivot,Васильев Артем Александрович,202303,март 2023,,,0.6380167690825607,,,1.9447368723099
AM_pivot,Васильев Артем Александрович,202304,апрель 2023,,,0.1089736956883352,,,0.0
AM_pivot,Васильев Артем Александрович,202305,май 2023,,,0.193838390027349,,,0.0
AM_pivot,Васильев Артем Александрович,202306,июнь 2023,,,0.3123170389978953,,,0.0614816223541179
AM_pivot,Васильев Артем Александрович,202307,июль 2023,,,1.0670583697001346,,,0.0
AM_pivot,Васильев Артем Александрович,202308,август 2023,,,0.297029702970297,,,0.0
AM_pivot,Васильев Артем Александрович,202309,сентябрь 2023,,,0.1608674609942154,,,0.0
AM_pivot,Васильев Артем Александрович,202310,октябрь 2023,,,0.0,,,0.0901051336416667
AM_pivot,Васильев Артем Александрович,202311,ноябрь 2023,,,0.7237101199112336,,,0.0
AM_pivot,Васильев Артем Александрович,202312,декабрь 2023,,,0.0,,,0.8884829108624496
AM_pivot,Иванова Мария Сергеевна,202302,февраль 2023,,,,,,
AM_pivot,Иванова Мария Сергеевна,202303,март 2023,,,0.0,,,0.0
AM_pivot,Иванова Мария Сергеевна,202304,апрель 2023,,,0.0,,,0.0
AM_pivot,Иванова Мария Сергеевна,202305,май 2023,,,0.0,,,0.0
AM_pivot,Иванова Мария Сергеевна,202306,июнь 2023,,,0.0,,,0.0
AM_pivot,Иванова Мария Сергеевна,202307,июль 2023,,,0.3434668722856592,,,0.0
AM_pivot,Иванова Мария Сергеевна,202308,август 2023,,,0.4511994333583266,,,0.0
AM_pivot,Иванова Мария Сергеевна,202309,сентябрь 2023,,,1.0,,,0.0
AM_pivot,Иванова Мария Сергеевна,202310,октябрь 2023,,,,,,
AM_pivot,Иванова Мария Сергеевна,202311,ноябрь 2023,,,,,,
AM_pivot,Иванова Мария Сергеевна,202312,декабрь 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202302,февраль 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202303,март 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202304,апрель 2023,,,0.0,,,0.0
AM_pivot,Кузнецов Михаил Иванович,202305,май 2023,,,0.0,,,0.0
AM_pivot,Кузнецов Михаил Иванович,202306,июнь 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202307,июль 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202308,август 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202309,сентябрь 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202310,октябрь 2023,,,,,,
AM_pivot,Кузнецов Михаил Иванович,202311,ноябрь 2023,,,0.9534111103467954,,,0.0
AM_pivot,Кузнецов Михаил Иванович,202312,декабрь 2023,,,0.0,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202302,февраль 2023,,,,,,
AM_pivot,Михайлов Андрей Сергеевич,202303,март 2023,,,2.4305770172992123,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202304,апрель 2023,,,1.0988393204263438,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202305,май 2023,,,1.3308369178592108,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202306,июнь 2023,,,0.0,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202307,июль 2023,,,1.1975246274311695,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202308,август 2023,,,,,,
AM_pivot,Михайлов Андрей Сергеевич,202309,сентябрь 2023,,,,,,
AM_pivot,Михайлов Андрей Сергеевич,202310,октябрь 2023,,,0.0,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202311,ноябрь 2023,,,0.0,,,0.0
AM_pivot,Михайлов Андрей Сергеевич,202312,декабрь 2023,,,0.0,,,0.0
AM_pivot,Петрова Анна Дмитриевна,202302,февраль 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202303,март 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202304,апрель 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202305,май 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202306,июнь 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202307,июль 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202308,август 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202309,сентябрь 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202310,октябрь 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202311,ноябрь 2023,,,,,,
AM_pivot,Петрова Анна Дмитриевна,202312,декабрь 2023,,,1.1111818218738578,,,0.0
AM_pivot,Попова Екатерина Николаевна,202302,февраль 2023,,,0.0,,,0.0
AM_pivot,Попова Екатерина Николаевна,202303,март 2023,,,0.0,,,0.0
