AM,февраль 2023,март 2023,апрель 2023,май 2023,июнь 2023,июль 2023,август 2023,сентябрь 2023,октябрь 2023,ноябрь 2023,декабрь 2023
Васильев Артем Александрович,0.0,0.6380167690825607,0.1089736956883352,0.193838390027349,0.3123170389978953,1.0670583697001346,0.297029702970297,0.1608674609942154,0.0,0.7237101199112336,0.0
Иванова Мария Сергеевна,,0.0,0.0,0.0,0.0,0.3434668722856592,0.4511994333583266,1.0,,,
Кузнецов Михаил Иванович,,,0.0,0.0,,,,,,0.9534111103467954,0.0
Михайлов Андрей Сергеевич,,2.4305770172992123,1.0988393204263438,1.3308369178592108,0.0,1.1975246274311695,,,0.0,0.0,0.0
Петрова Анна Дмитриевна,,,,,,,,,,,1.1111818218738578
Попова Екатерина Николаевна,0.0,0.0,0.166304605779587,0.4916267469020943,0.0,0.0960518929707478,0.5547610473789804,0.977227440933675,0.696784791086355,0.0,0.0
Смирнова Ольга Владимировна,0.0,0.0,1.0,,0.0,0.0,0.281600555105817,0.6108274701183078,1.224452440001497,0.843110205361342,0.069589422407794
Соколова Анастасия Викторовна,0.3543200802906791,1.1569894403063208,0.9764664636150492,0.0,0.0,0.0,0.3385006077229111,0.4752743932109001,0.6891025245887896,0.270590535784122,0.1470155836518671
