id,Account,month_code,amount,any_stop,any_v_nol,has_stop_id
46,Смирнова Ольга Владимировна,202302,39298.5,False,False,False
46,Смирнова Ольга Владимировна,202402,0.0,False,False,False
46,Смирнова Ольга Владимировна,202301,39838.5,False,False,False
46,Смирнова Ольга Владимировна,202401,0.0,False,False,False
48,Смирнова Ольга Владимировна,202308,0.0,False,False,False
48,Смирнова Ольга Владимировна,202304,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202212,0.0,False,False,False
48,Смирнова Ольга Владимировна,202312,0.0,False,False,False
48,Смирнова Ольга Владимировна,202307,0.0,False,False,False
48,Смирнова Ольга Владимировна,202306,0.0,False,False,False
48,Смирнова Ольга Владимировна,202305,0.0,False,False,False
48,Смирнова Ольга Владимировна,202303,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202211,0.0,False,False,False
48,Смирнова Ольга Владимировна,202311,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202310,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202309,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202302,39726.0,False,False,False
48,Смирнова Ольга Владимировна,202402,44635.5,False,False,False
48,Смирнова Ольга Владимировна,202301,0.0,False,False,False
48,Смирнова Ольга Владимировна,202401,45175.5,False,False,False
49,Смирнова Ольга Владимировна,202308,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202304,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202212,85842.0,False,False,False
49,Смирнова Ольга Владимировна,202312,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202307,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202306,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202305,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202303,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202211,85842.0,False,False,False
49,Смирнова Ольга Владимировна,202311,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202310,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202309,84582.0,False,False,False
49,Смирнова Ольга Владимировна,202302,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202402,0.0,False,False,False
49,Смирнова Ольга Владимировна,202301,83358.0,False,False,False
49,Смирнова Ольга Владимировна,202401,0.0,False,False,False
54,Смирнова Ольга Владимировна,202308,32139.0,False,False,False
54,Смирнова Ольга Владимировна,202304,38461.5,False,False,False
54,Смирнова Ольга Владимировна,202212,0.0,False,False,False
54,Смирнова Ольга Владимировна,202312,50949.0,False,False,False
54,Смирнова Ольга Владимировна,202307,32139.0,False,False,False
54,Смирнова Ольга Владимировна,202306,31333.5,False,False,False
54,Смирнова Ольга Владимировна,202305,32139.0,False,False,False
54,Смирнова Ольга Владимировна,202303,41067.0,False,False,False
54,Смирнова Ольга Владимировна,202211,0.0,False,False,False
54,Смирнова Ольга Владимировна,202311,50949.0,False,False,False
54,Смирнова Ольга Владимировна,202310,50094.0,False,False,False
54,Смирнова Ольга Владимировна,202309,49666.5,False,False,False
54,Смирнова Ольга Владимировна,202302,0.0,False,False,False
54,Смирнова Ольга Владимировна,202402,0.0,False,False,False
54,Смирнова Ольга Владимировна,202301,0.0,False,False,False
54,Смирнова Ольга Владимировна,202401,0.0,False,False,False
55,Иванова Мария Сергеевна,202308,0.0,False,False,False
55,Иванова Мария Сергеевна,202304,41364.0,False,False,False
55,Иванова Мария Сергеевна,202212,0.0,False,False,False
55,Иванова Мария Сергеевна,202312,0.0,False,False,False
55,Иванова Мария Сергеевна,202307,0.0,False,False,False
55,Иванова Мария Сергеевна,202306,45868.5,False,False,False
55,Иванова Мария Сергеевна,202305,44257.5,False,False,False
55,Иванова Мария Сергеевна,202303,43173.0,False,False,False
55,Иванова Мария Сергеевна,202211,0.0,False,False,False
55,Иванова Мария Сергеевна,202311,0.0,False,False,False
